#data downloaded from http://stats.nba.com/leaders/alltime/#!?SeasonType=Regular%20Season&StatCategory=MIN 5/17/15
#TS = true shooting percentage, adjusts for 3PA and FT
Player	GP	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	eFG%	TS%
Andre Iguodala	835	36.1	14.0	5.0	10.8	46.1	0.9	2.8	33.3	3.1	4.3	71.7	1.0	4.5	5.5	4.7	1.7	0.5	2.2	50.5	55.1
Jason Kidd	1,391	36.0	12.6	4.5	11.2	40.0	1.4	4.1	34.9	2.2	2.8	78.5	1.3	5.0	6.3	8.7	1.9	0.3	2.9	46.4	50.7
John Wall	345	36.0	17.6	6.4	14.8	43.1	0.6	2.1	30.5	4.2	5.4	78.9	0.6	3.8	4.4	8.7	1.6	0.6	3.7	45.2	51.4
Chris Bosh	840	35.9	19.3	7.0	14.1	49.5	0.3	0.8	32.6	5.1	6.3	79.9	2.2	6.3	8.6	2.0	0.8	1.1	2.1	50.5	57.1
Slater Martin	745	35.9	9.8	3.5	9.7	36.4	-	-	-	2.8	3.7	76.2	-	-	3.4	4.2	-	-	-	36.4	43.6
Rudy Gay	653	35.9	18.5	7.0	15.5	45.1	1.0	3.0	34.3	3.5	4.4	79.4	1.5	4.3	5.8	2.3	1.3	0.8	2.5	48.4	53.0
Monta Ellis	678	35.8	19.3	7.4	16.4	45.4	0.9	2.8	31.4	3.6	4.6	77.3	0.7	2.9	3.5	4.8	1.7	0.3	2.8	48.1	52.5
Jojo White	837	35.8	17.2	7.4	16.6	44.4	0.0	0.0	16.7	2.5	3.0	83.4	0.9	2.7	4.0	4.9	1.3	0.2	2.4	44.4	48.1
Adrian Dantley	955	35.8	24.3	8.6	15.8	54.0	0.0	0.0	17.1	7.2	8.7	81.8	2.3	3.4	5.7	3.0	1.0	0.2	2.9	54.0	61.7
Hakeem Olajuwon	1,238	35.7	21.8	8.7	17.0	51.2	0.0	0.1	20.2	4.4	6.2	71.2	3.3	7.8	11.1	2.5	1.7	3.1	3.0	51.3	55.3
Ed Macauley	641	35.7	17.5	5.8	13.4	43.6	-	-	-	5.9	7.7	76.1	-	-	7.5	3.2	-	-	-	43.6	52.2
Dave DeBusschere	875	35.7	16.1	6.5	15.1	43.2	-	-	-	3.0	4.3	69.9	1.9	8.8	11.0	2.9	0.9	0.5	-	43.2	47.2
Ray Allen	1,300	35.6	18.9	6.6	14.6	45.2	2.3	5.7	40.0	3.4	3.8	89.4	0.9	3.1	4.1	3.4	1.1	0.2	2.1	53.0	58.0
Derrick Rose	340	35.6	20.4	7.8	17.3	45.2	0.9	3.0	30.4	3.8	4.7	81.5	0.9	2.8	3.7	6.5	0.8	0.4	3.0	47.8	52.6
Dwight Howard	809	35.6	18.1	6.5	11.2	57.9	0.0	0.1	10.4	5.2	9.1	57.3	3.5	9.2	12.7	1.5	1.0	2.1	3.1	58.0	59.8
Luol Deng	749	35.6	15.8	6.1	13.3	45.8	0.7	2.0	33.3	3.0	3.9	77.2	1.7	4.5	6.2	2.4	1.0	0.5	1.8	48.4	52.8
Nate Archibald	876	35.6	18.8	6.7	14.4	46.7	0.0	0.1	22.4	5.3	6.6	81.0	0.5	1.6	2.3	7.4	1.1	0.1	2.7	46.8	54.3
Blake Griffin	375	35.5	21.5	8.3	15.9	52.3	0.1	0.4	26.3	4.7	7.2	65.6	2.6	7.0	9.7	4.0	1.0	0.6	2.5	52.6	56.3
Pau Gasol	983	35.5	18.3	7.0	13.6	51.3	0.1	0.2	27.8	4.3	5.7	75.3	2.7	6.7	9.4	3.2	0.5	1.7	2.3	51.5	56.8
Paul Pierce	1,250	35.5	20.7	6.8	15.2	44.7	1.6	4.4	37.1	5.5	6.8	80.6	0.9	5.0	5.8	3.7	1.4	0.6	2.8	50.1	57.0
Willis Reed	650	35.5	18.7	7.5	15.7	47.6	-	-	-	3.8	5.1	74.7	2.5	4.9	12.9	1.8	0.6	1.1	-	47.6	52.3
Dominique Wilkins	1,074	35.5	24.8	9.3	20.1	46.1	0.7	2.1	31.9	5.6	6.9	81.1	2.7	3.9	6.7	2.5	1.3	0.6	2.5	47.8	53.6
Dirk Nowitzki	1,265	35.5	22.2	7.8	16.5	47.5	1.2	3.3	38.3	5.3	6.1	87.9	1.1	6.9	7.9	2.6	0.9	0.9	1.8	51.3	58.1
Norm Nixon	768	35.5	15.7	6.8	14.1	48.3	0.1	0.4	29.4	2.0	2.6	77.2	0.6	2.0	2.6	8.3	1.5	0.1	3.1	48.8	51.7
Brandon Roy	326	35.5	18.8	6.8	14.9	45.9	1.0	2.8	34.8	4.2	5.2	80.0	1.1	3.2	4.3	4.7	1.0	0.2	1.8	49.2	54.8
Hal Greer	1,122	35.5	19.2	7.6	16.8	45.2	-	-	-	4.1	5.1	80.1	-	-	5.0	4.0	-	-	-	45.2	50.6
Neil Johnston	516	35.5	19.4	6.4	14.4	44.4	-	-	-	6.6	8.6	76.8	-	-	11.3	2.5	-	-	-	44.4	53.4
LaMarcus Aldridge	648	35.5	19.4	7.9	16.3	48.5	0.1	0.3	27.6	3.5	4.4	79.6	2.7	5.7	8.4	1.9	0.8	1.0	1.6	48.8	53.2
Jim Pollard	438	35.4	13.2	5.2	14.6	36.0	-	-	-	2.7	3.5	75.0	-	-	7.8	3.2	-	-	-	36.0	40.8
Lenny Wilkens	1,077	35.3	16.5	5.7	13.3	43.2	-	-	-	5.0	6.5	77.4	0.8	2.0	4.7	6.7	1.3	0.2	-	43.2	51.1
Tim Hardaway	867	35.3	17.7	6.5	15.1	43.1	1.8	5.0	35.5	2.9	3.8	78.2	0.6	2.7	3.3	8.2	1.6	0.1	2.9	49.0	53.0
Antoine Walker	893	35.3	17.5	6.8	16.5	41.4	1.6	4.8	32.5	2.3	3.7	63.3	2.1	5.6	7.7	3.5	1.2	0.5	2.8	46.1	48.4
Gary Payton	1,335	35.3	16.3	6.5	14.0	46.6	0.8	2.7	31.7	2.4	3.4	72.9	1.0	2.9	3.9	6.7	1.8	0.2	2.3	49.6	52.8
Bob Cousy	924	35.3	18.4	6.7	17.8	37.5	-	-	-	5.0	6.2	80.3	-	-	5.2	7.5	-	-	-	37.5	44.6
Bob Dandridge	839	35.2	18.5	7.7	15.9	48.4	0.0	0.0	16.7	3.1	4.0	78.0	1.7	4.4	6.8	3.4	1.3	0.6	2.7	48.4	52.4
Mitch Richmond	976	35.2	21.0	7.5	16.4	45.5	1.4	3.5	38.8	4.7	5.5	85.0	0.9	3.0	3.9	3.5	1.2	0.3	2.6	49.7	55.7
Norm Van Lier	746	35.1	11.8	4.4	10.7	41.4	-	-	-	2.9	3.7	78.0	1.3	3.0	4.8	7.0	1.8	0.2	2.1	41.4	47.6
Deron Williams	716	35.1	17.0	6.0	13.4	44.7	1.4	3.9	35.8	3.6	4.5	81.9	0.4	2.7	3.2	8.5	1.1	0.3	3.0	49.9	55.4
Gilbert Arenas	552	35.0	20.7	6.7	16.0	42.1	2.0	5.6	35.1	5.2	6.5	80.3	0.8	3.1	3.9	5.3	1.6	0.2	3.2	48.2	54.7
Kevin Garnett	1,424	35.0	18.2	7.3	14.8	49.7	0.1	0.4	27.6	3.4	4.3	79.0	2.2	7.9	10.2	3.8	1.3	1.4	2.2	50.1	54.6
Stephen Curry	416	35.0	20.9	7.5	15.9	47.1	2.9	6.5	44.0	3.1	3.5	90.0	0.7	3.5	4.1	6.9	1.7	0.2	3.2	56.1	60.2
Glen Rice	1,000	35.0	18.3	6.8	14.9	45.6	1.6	3.9	40.0	3.2	3.8	84.6	0.9	3.4	4.4	2.1	1.0	0.3	1.7	50.8	55.4
Mookie Blaylock	889	34.9	13.5	5.3	12.9	40.9	1.4	4.3	33.6	1.4	1.9	73.6	1.1	3.0	4.1	6.7	2.3	0.3	2.3	46.5	48.8
Scottie Pippen	1,178	34.9	16.1	6.3	13.3	47.3	0.8	2.5	32.6	2.7	3.8	70.4	1.8	4.6	6.4	5.2	2.0	0.8	2.8	50.4	53.6
Shareef Abdur-Rahim	830	34.8	18.1	6.5	13.9	47.2	0.2	0.6	29.7	4.8	6.0	81.0	2.3	5.3	7.5	2.5	1.0	0.8	2.6	47.9	54.9
Antawn Jamison	1,083	34.8	18.5	7.1	15.7	45.1	1.1	3.1	34.6	3.3	4.5	72.4	2.4	5.2	7.5	1.6	1.0	0.4	1.6	48.5	52.3
Shaquille O'Neal	1,207	34.7	23.7	9.4	16.1	58.2	0.0	0.0	4.5	4.9	9.3	52.7	3.5	7.4	10.9	2.5	0.6	2.3	2.7	58.2	58.6
David Robinson	987	34.7	21.1	7.5	14.4	51.8	0.0	0.1	25.0	6.1	8.3	73.6	3.1	7.5	10.6	2.5	1.4	3.0	2.4	51.9	58.3
Anthony Mason	882	34.7	10.9	4.1	8.0	50.9	0.0	0.0	16.7	2.8	4.0	70.9	2.2	6.1	8.3	3.4	0.7	0.3	1.8	51.0	56.3
Gus Johnson	581	34.7	17.1	7.1	16.1	44.0	-	-	-	2.9	4.2	69.9	-	-	12.7	2.7	-	-	-	44.0	47.6
Clyde Drexler	1,086	34.6	20.4	7.7	16.3	47.2	0.8	2.4	31.8	4.3	5.5	78.8	2.4	3.7	6.1	5.6	2.0	0.7	2.7	49.5	54.7
Connie Hawkins	499	34.5	16.5	6.0	12.9	46.7	-	-	-	4.4	5.6	78.5	1.7	4.5	8.0	4.1	1.2	0.8	-	46.7	53.5
Joe Dumars	1,018	34.5	16.1	5.9	12.8	46.0	1.0	2.5	38.2	3.4	4.0	84.3	0.7	1.5	2.2	4.5	0.9	0.1	2.0	49.8	55.4
Dick Van Arsdale	921	34.5	16.4	5.9	12.7	46.4	-	-	-	4.6	5.8	79.0	0.7	1.7	4.1	3.3	0.9	0.2	-	46.4	53.7
Shawn Marion	1,163	34.5	15.2	6.3	12.9	48.4	0.7	2.1	33.1	2.0	2.5	81.0	2.3	6.3	8.7	1.9	1.5	1.1	1.5	51.0	54.2
Michael Finley	1,103	34.4	15.7	6.1	13.7	44.4	1.3	3.5	37.5	2.2	2.7	81.1	1.0	3.3	4.4	2.9	0.9	0.3	1.5	49.2	52.7
Tim Duncan	1,331	34.4	19.5	7.6	14.9	50.6	0.0	0.1	18.1	4.4	6.3	69.6	2.8	8.2	11.0	3.1	0.7	2.2	2.5	50.7	55.1
Charlie Scott	560	34.4	17.9	7.3	16.5	44.4	0.0	0.0	18.2	3.2	4.2	77.2	1.0	2.6	3.6	4.8	1.3	0.3	2.9	44.4	48.7
Dolph Schayes	996	34.4	18.5	5.9	15.5	38.0	-	-	-	6.7	7.9	84.9	-	-	12.1	3.1	-	-	-	38.0	48.8
George Mikan	439	34.4	23.1	8.1	20.0	40.4	-	-	-	7.0	8.9	78.2	-	-	13.4	2.8	-	-	-	40.4	48.3
Eddie Jones	954	34.4	14.8	5.2	11.8	43.7	1.6	4.3	37.3	2.9	3.6	80.9	0.8	3.2	4.0	2.9	1.7	0.6	1.6	50.5	55.4
Patrick Ewing	1,183	34.3	21.0	8.2	16.3	50.4	0.0	0.1	15.2	4.6	6.2	74.0	2.3	7.5	9.8	1.9	1.0	2.4	3.0	50.5	55.3
Julius Erving	836	34.3	22.0	8.7	17.1	50.7	0.1	0.2	26.1	4.6	5.9	77.7	2.5	4.2	6.7	3.9	1.8	1.5	3.1	50.9	55.8
Marques Johnson	691	34.3	20.1	8.3	16.0	51.8	0.0	0.1	15.2	3.5	4.7	73.9	2.6	4.3	7.0	3.6	1.3	0.8	2.4	51.9	55.6
Reggie Miller	1,389	34.3	18.2	5.9	12.6	47.1	1.8	4.7	39.5	4.5	5.1	88.8	0.6	2.4	3.0	3.0	1.1	0.2	1.7	54.4	61.4
Billy Cunningham	654	34.3	20.8	7.8	17.5	44.6	-	-	-	5.2	7.2	72.0	1.6	7.1	10.1	4.0	1.1	0.5	-	44.6	50.3
Baron Davis	835	34.2	16.1	5.9	14.3	40.9	1.6	5.0	32.0	2.8	3.9	71.1	0.9	2.9	3.8	7.2	1.8	0.4	2.8	46.5	50.2
Jason Richardson	857	34.1	17.1	6.5	14.8	43.8	1.9	5.1	37.0	2.2	3.2	70.7	1.2	3.7	5.0	2.7	1.2	0.4	1.8	50.2	52.8
Jerry Sloan	755	34.1	14.0	5.5	12.8	42.7	-	-	-	3.1	4.3	72.2	2.1	4.8	7.4	2.5	2.2	0.2	-	42.7	47.7
Kevin Johnson	735	34.1	17.9	6.1	12.5	49.3	0.2	0.7	30.5	5.4	6.4	84.1	0.7	2.6	3.3	9.1	1.5	0.2	3.1	50.1	58.5
Eric Gordon	372	34.1	16.8	5.7	13.1	43.7	1.8	4.7	38.3	3.6	4.4	80.9	0.5	2.1	2.6	3.4	1.1	0.3	2.3	50.5	55.9
Russell Westbrook	507	34.0	21.1	7.4	17.2	43.2	0.8	2.6	30.4	5.5	6.7	81.9	1.6	3.6	5.2	7.1	1.7	0.3	3.6	45.5	52.5
Mike Bibby	1,001	33.9	14.7	5.4	12.4	43.6	1.5	4.0	37.9	2.4	2.9	80.2	0.5	2.6	3.1	5.5	1.2	0.1	2.1	49.7	53.6
Moses Malone	1,329	33.9	20.6	7.1	14.5	49.1	0.0	0.1	10.0	6.4	8.3	76.9	5.1	7.1	12.2	1.4	0.8	1.3	3.1	49.1	56.9
Brandon Jennings	412	33.9	16.6	5.9	15.0	39.1	1.9	5.4	35.1	2.9	3.6	80.2	0.7	2.6	3.2	6.2	1.4	0.2	2.4	45.4	49.8
Sidney Wicks	760	33.9	16.8	6.6	14.5	45.9	0.0	0.0	0.0	3.6	5.2	68.5	2.6	5.5	8.7	3.2	1.0	0.7	2.4	45.9	50.2
Grant Hill	1,026	33.9	16.7	6.2	12.8	48.3	0.2	0.7	31.4	4.1	5.4	76.9	1.1	4.9	6.0	4.1	1.2	0.6	2.4	49.2	55.1
Jimmy Walker	698	33.8	16.7	6.6	14.4	46.1	-	-	-	3.4	4.2	82.9	0.6	2.1	2.7	3.5	1.1	0.2	-	46.1	51.5
Allan Houston	839	33.7	17.3	6.4	14.3	44.4	1.6	3.9	40.2	3.1	3.6	86.3	0.4	2.5	2.9	2.4	0.7	0.2	2.1	49.8	54.6
Reggie Theus	1,026	33.7	18.5	6.9	14.6	47.1	0.2	0.9	25.2	4.5	5.5	82.6	1.2	2.1	3.3	6.3	1.2	0.2	3.4	47.9	54.5
Al Horford	496	33.7	14.2	6.1	11.2	54.1	0.0	0.1	32.3	2.0	2.7	73.8	2.5	6.7	9.2	2.7	0.8	1.2	1.6	54.2	57.1
Spencer Haywood	760	33.7	19.2	7.6	16.4	46.5	0.0	0.0	12.5	4.0	5.0	80.0	2.6	5.6	9.3	1.8	0.6	1.1	2.2	46.5	51.7
Anfernee Hardaway	704	33.7	15.2	5.7	12.4	45.8	0.7	2.3	31.6	3.1	4.0	77.4	1.4	3.1	4.5	5.0	1.6	0.4	2.5	48.6	53.5
Bernard King	874	33.7	22.5	9.0	17.3	51.8	0.0	0.2	17.2	4.5	6.2	73.0	1.9	3.8	5.8	3.3	1.0	0.3	3.2	51.9	56.1
Marc Gasol	517	33.7	14.1	5.3	10.4	50.9	0.0	0.1	15.9	3.5	4.6	75.8	2.1	5.8	7.9	3.0	0.9	1.6	2.0	51.0	56.6
Josh Smith	836	33.6	15.1	5.9	13.0	45.5	0.5	1.7	28.5	2.8	4.4	63.3	2.0	5.7	7.7	3.2	1.3	2.0	2.5	47.4	50.6
Doug Collins	415	33.6	17.9	7.1	14.1	50.1	0.0	0.0	0.0	3.8	4.5	83.3	1.1	2.1	3.2	3.3	1.2	0.3	2.8	50.1	55.7
George Gervin	791	33.5	26.2	10.2	19.9	51.1	0.1	0.3	29.7	5.7	6.8	84.4	1.5	3.1	4.6	2.8	1.2	0.8	3.0	51.3	57.2
Peja Stojakovic	804	33.5	17.0	6.0	13.3	45.0	2.2	5.5	40.1	2.8	3.1	89.5	0.9	3.8	4.7	1.8	0.9	0.1	1.4	53.2	57.7
Tyreke Evans	408	33.5	16.8	6.4	14.3	44.7	0.6	2.1	27.8	3.4	4.6	75.5	1.0	3.9	4.9	5.2	1.4	0.4	2.7	46.7	51.5
DeMar DeRozan	443	33.5	17.2	6.2	14.0	44.2	0.4	1.3	27.0	4.5	5.5	81.8	0.7	3.1	3.8	2.4	0.9	0.3	1.8	45.4	52.4
Rudy Tomjanovich	768	33.5	17.4	7.3	14.6	50.1	0.0	0.2	26.2	2.7	3.5	78.4	2.2	5.2	8.1	2.0	0.7	0.3	1.6	50.2	53.9
Lou Hudson	890	33.5	20.2	8.3	17.0	48.9	-	-	-	3.5	4.4	79.7	1.2	1.9	4.4	2.7	1.4	0.3	1.6	48.9	53.2
Bob Lanier	959	33.5	20.1	8.1	15.7	51.4	0.0	0.0	15.4	3.9	5.1	76.7	2.6	6.8	10.1	3.1	1.1	1.5	2.6	51.4	55.9
Lamar Odom	961	33.4	13.3	5.0	10.8	46.3	0.7	2.2	31.2	2.6	3.7	69.3	1.9	6.5	8.4	3.7	0.9	0.9	2.3	49.5	53.4
Micheal Ray Richardson	556	33.4	14.8	6.1	13.5	45.7	0.2	1.0	22.0	2.3	3.4	69.0	1.8	3.7	5.5	7.0	2.6	0.4	3.3	46.5	49.7
George Yardley	472	33.4	19.2	6.8	16.0	42.2	-	-	-	5.7	7.3	78.0	-	-	8.9	1.7	-	-	-	42.2	49.9
Jeff Ruland	332	33.4	17.4	6.3	11.2	56.4	0.0	0.1	15.8	4.7	6.5	71.8	3.3	6.9	10.2	3.0	0.8	0.8	3.7	56.4	61.5
Kerry Kittles	507	33.4	14.1	5.5	12.5	43.9	1.4	3.6	37.8	1.8	2.3	78.0	1.0	2.9	3.9	2.6	1.6	0.4	1.2	49.3	52.3
Gene Shue	699	33.4	14.4	5.3	13.4	39.6	-	-	-	3.8	4.7	80.6	-	-	4.1	3.7	-	-	-	39.6	46.5
Jack Sikma	1,107	33.4	15.6	5.8	12.5	46.4	0.2	0.6	32.8	3.9	4.6	84.9	2.3	7.5	9.8	3.2	1.0	0.9	2.3	47.1	54.0
Larry Nance	920	33.4	17.1	6.9	12.7	54.6	0.0	0.1	14.5	3.2	4.2	75.5	2.5	5.5	8.0	2.6	0.9	2.2	1.9	54.6	58.6
Bill Bridges	926	33.3	11.9	4.5	10.2	44.2	-	-	-	2.9	4.1	69.3	2.6	3.9	11.9	2.8	0.7	0.4	-	44.2	49.4
Raymond Felton	696	33.3	12.7	4.8	11.6	41.2	1.0	3.1	33.2	2.1	2.7	78.3	0.7	2.5	3.2	6.3	1.4	0.2	2.5	45.7	49.7
Elton Brand	1,041	33.3	16.1	6.3	12.6	50.1	0.0	0.0	10.0	3.5	4.7	73.6	3.2	5.5	8.6	2.1	0.9	1.7	2.0	50.1	54.8
Rudy LaRusso	736	33.3	15.6	5.6	12.9	43.1	-	-	-	4.5	5.9	76.7	-	-	9.4	2.1	-	-	-	43.1	50.4
Bob McAdoo	852	33.2	22.1	8.7	17.3	50.3	0.0	0.0	8.1	4.6	6.1	75.4	2.4	7.1	9.4	2.3	1.0	1.5	2.6	50.3	55.1
Vince Carter	1,214	33.2	19.4	7.0	16.0	44.0	1.5	4.1	37.4	3.8	4.7	79.9	1.3	3.5	4.8	3.6	1.1	0.6	2.0	48.8	53.6
Derrick Coleman	781	33.2	16.5	5.9	13.2	44.7	0.4	1.4	29.5	4.3	5.5	76.9	2.7	6.6	9.3	2.5	0.8	1.3	2.6	46.2	52.6
Horace Grant	1,165	33.2	11.2	4.7	9.2	50.9	0.0	0.1	6.3	1.8	2.6	69.2	3.0	5.1	8.1	2.2	1.0	1.0	1.1	50.9	54.0
Damon Stoudamire	878	33.2	13.4	4.9	12.1	40.6	1.4	3.9	35.7	2.1	2.6	83.3	0.8	2.7	3.5	6.1	1.1	0.1	2.3	46.4	50.5
Jack Coleman	633	33.1	10.6	4.4	10.7	41.6	-	-	-	1.7	2.5	69.5	-	-	9.2	2.8	-	-	-	41.6	45.1
Phil Chenier	578	33.1	17.2	7.1	16.0	44.4	0.0	0.0	40.0	2.9	3.6	80.6	0.9	2.7	3.6	3.0	1.6	0.6	1.4	44.5	48.7
Sean Elliott	742	33.0	14.2	5.2	11.2	46.5	0.8	2.1	37.5	3.0	3.8	79.9	1.1	3.2	4.3	2.6	0.8	0.4	1.8	50.0	55.3
Metta World Peace	931	33.0	13.8	4.9	11.8	41.7	1.2	3.5	34.1	2.7	3.8	71.6	1.2	3.4	4.7	2.8	1.8	0.5	1.9	46.7	51.0
Kevin Love	439	32.9	18.7	6.2	13.9	44.8	1.3	3.7	36.3	4.9	6.1	81.4	3.4	8.4	11.8	2.4	0.7	0.5	2.0	49.6	56.6
Jamaal Wilkes	828	32.9	17.7	7.5	15.1	49.9	0.0	0.1	13.5	2.6	3.5	75.9	2.0	4.2	6.2	2.5	1.3	0.3	2.1	50.0	53.3
Nick Van Exel	880	32.9	14.4	5.3	13.0	40.5	1.7	4.9	35.7	2.1	2.7	79.4	0.4	2.5	2.9	6.6	0.8	0.1	2.1	47.1	50.7
Jrue Holiday	372	32.9	13.6	5.5	12.4	43.9	1.0	2.7	37.6	1.7	2.1	79.0	0.9	2.7	3.6	6.1	1.5	0.4	2.7	48.0	50.9
Jim Jackson	885	32.8	14.3	5.4	12.7	42.8	1.0	2.7	36.5	2.5	3.0	82.5	1.3	3.3	4.7	3.2	0.8	0.2	2.5	46.7	51.1
Jeff Malone	905	32.8	19.0	7.8	16.2	48.4	0.1	0.4	26.8	3.3	3.7	87.1	0.6	2.0	2.6	2.4	0.6	0.1	1.7	48.7	53.3
Rolando Blackman	980	32.7	18.0	7.0	14.3	49.3	0.2	0.7	34.3	3.7	4.4	84.0	1.1	2.3	3.3	3.0	0.7	0.3	1.9	50.1	55.5
Dennis Johnson	1,100	32.7	14.1	5.3	11.9	44.5	0.1	0.4	17.2	3.4	4.3	79.7	1.3	2.5	3.9	5.0	1.3	0.6	2.4	44.8	51.1
Tracy McGrady	938	32.7	19.6	7.2	16.4	43.5	1.2	3.4	33.8	4.1	5.5	74.6	1.4	4.2	5.6	4.4	1.2	0.9	2.2	47.0	51.9
Rasheed Wallace	1,109	32.7	14.4	5.7	12.2	46.7	1.0	2.9	33.6	2.1	2.9	72.1	1.4	5.3	6.7	1.8	1.0	1.3	1.5	50.7	53.6
